label,study,arm,es,year,TESTEX,age,sex_%_male,weight,bmi,train_status,healthy_clinical,RT_only,weeks,freq,exercises,sets_exercise,reps,load,task_failure_y_n,outcome,measure,region,specific_region,study_design,RT_n,RT_pre_m,RT_post_m,RT_delta_m,RT_pre_se,RT_post_se,RT_delta_se,RT_pre_sd,RT_post_sd,RT_delta_sd,RT_delta_CI_lower,RT_delta_CI_upper,RT_delta_t_value,RT_delta_p_value,CON_n,CON_pre_m,CON_post_m,CON_delta_m,CON_pre_se,CON_post_se,CON_delta_se,CON_pre_sd,CON_post_sd,CON_delta_sd,CON_delta_CI_lower,CON_delta_CI_upper,CON_delta_t_value,CON_delta_p_value,Notes
"Cook et al., J Sports Sci Med, 2018",24,43,238,2018,8,20.25,50,66,,untrained,healthy,y,6,,2,3,60,70,y,strength,1RM,lower,knee extension,between,6,116,131,,,,,21,24,,,,,0.03,6,124,126,,,,,30,38,,,,,,
"Cook et al., J Sports Sci Med, 2018",24,43,239,2018,8,20.25,50,66,,untrained,healthy,y,6,,2,3,60,70,y,hypertrophy,MRI,lower,quadriceps,between,6,1952,2001,,,,,539,531,,,,,,6,1945,1945,,,,,384,389,,,,,0.96,
"Cook et al., J Sports Sci Med, 2018",24,43,240,2018,8,19.85,50,68.45,,untrained,healthy,y,6,,2,3,13.33333333,20,y,strength,isometric,lower,knee extension,between,6,203,238,,,,,64,92,,,,,0.02,6,227,232,,,,,53,60,,,,,,
"Cook et al., J Sports Sci Med, 2018",24,43,241,2018,8,19.85,50,68.45,,untrained,healthy,y,6,,2,3,13.33333333,20,y,strength,1RM,lower,knee extension,between,6,88,118,,,,,32,44,,,,,0.02,6,124,126,,,,,30,38,,,,,,
"Cook et al., J Sports Sci Med, 2018",24,43,242,2018,8,19.85,50,68.45,,untrained,healthy,y,6,,2,3,13.33333333,20,y,hypertrophy,MRI,lower,quadriceps,between,6,1690,1785,,,,,464,528,,,,,,6,1945,1945,,,,,384,389,,,,,0.96,
"Coratella et al., Eur J Sport Sci, 2015",25,44,243,2015,8,20.5,100,78.9,,untrained,healthy,y,6,2,1,5,,,,strength,1RM,lower,knee extension,between,16,58.3,63.9,5.5,,,,11.4,12.8,,3.3,7.9,,,17,65.6,64.1,-1.5,,,,14.3,14.4,,-3.8,0.7,,,
"Coratella et al., Eur J Sport Sci, 2015",25,44,244,2015,8,20.5,100,78.9,,untrained,healthy,y,6,2,1,5,,,,strength,isokinetic,lower,knee extension,between,16,235.1,247.4,12.2,,,,50.4,52.6,,2.8,21.7,,,17,254.6,242.6,-11.9,,,,53.7,50.4,,-21.7,2.7,,,
"Coratella et al., Eur J Sport Sci, 2015",25,44,245,2015,8,20.5,100,78.9,,untrained,healthy,y,6,2,1,5,,,,strength,isokinetic,lower,knee extension,between,16,294.1,332.1,38.2,,,,72.9,64,,21.9,54.4,,,17,308.5,296.9,-11.5,,,,85.2,70.9,,-27.3,4.2,,,
"Coratella et al., Eur J Sport Sci, 2015",25,44,246,2015,8,20.5,100,78.9,,untrained,healthy,y,6,2,1,5,,,,strength,isometric,lower,knee extension,between,16,269.3,285.2,15.8,,,,57.6,58.8,,5.4,26.2,,,17,263,257.1,-5.9,,,,63.5,56.6,,-11,5.8,,,
"Coratella et al., Eur J Sport Sci, 2015",25,44,247,2015,8,20.5,100,78.9,,untrained,healthy,y,6,2,1,5,,,,hypertrophy,DXA,lower,quadriceps,between,16,7.4,7.4,0,,,,1.3,1.1,,-0.1,0.2,,,17,8,8,-0.1,,,,1.2,1.4,,-0.2,0.1,,,
"Coratella et al., Eur J Sport Sci, 2015",25,44,248,2015,8,20.5,100,78.9,,untrained,healthy,y,6,2,1,5,,,,hypertrophy,US,lower,quadriceps (vastus lateralis),between,16,19.4,23.6,4.1,,,,2.9,2.7,,2.5,5.7,,,17,22.2,22.6,0.4,,,,4.2,3.9,,-1,1.9,,,
"Coratella et al., Eur J Sport Sci, 2015",25,45,249,2015,8,20.5,100,78.9,,untrained,healthy,y,6,2,1,5,,,,strength,1RM,lower,knee extension,between,16,55.5,60,4.4,,,,7.4,10.3,,1.8,7,,,17,65.6,64.1,-1.5,,,,14.3,14.4,,-3.8,0.7,,,
"Coratella et al., Eur J Sport Sci, 2015",25,45,250,2015,8,20.5,100,78.9,,untrained,healthy,y,6,2,1,5,,,,strength,isokinetic,lower,knee extension,between,16,220.5,237.5,17,,,,35.6,52.6,,6.6,27.4,,,17,254.6,242.6,-11.9,,,,53.7,50.4,,-21.7,2.7,,,
"Coratella et al., Eur J Sport Sci, 2015",25,45,251,2015,8,20.5,100,78.9,,untrained,healthy,y,6,2,1,5,,,,strength,isokinetic,lower,knee extension,between,16,259.9,344.1,84.2,,,,45.4,57.8,,66.3,102.1,,,17,308.5,296.9,-11.5,,,,85.2,70.9,,-27.3,4.2,,,
"Coratella et al., Eur J Sport Sci, 2015",25,45,252,2015,8,20.5,100,78.9,,untrained,healthy,y,6,2,1,5,,,,strength,isometric,lower,knee extension,between,16,239,273.5,34.5,,,,48.6,61,,23,45.9,,,17,263,257.1,-5.9,,,,63.5,56.6,,-11,5.8,,,
"Coratella et al., Eur J Sport Sci, 2015",25,45,253,2015,8,20.5,100,78.9,,untrained,healthy,y,6,2,1,5,,,,hypertrophy,DXA,lower,quadriceps,between,16,6.1,6.2,0,,,,2.2,2.3,,-0.1,0.2,,,17,8,8,-0.1,,,,1.2,1.4,,-0.2,0.1,,,
"Coratella et al., Eur J Sport Sci, 2015",25,45,254,2015,8,20.5,100,78.9,,untrained,healthy,y,6,2,1,5,,,,hypertrophy,US,lower,quadriceps (vastus lateralis),between,16,21.3,24.7,3.3,,,,3.6,5.4,,1.5,5.1,,,17,22.2,22.6,0.4,,,,4.2,3.9,,-1,1.9,,,
"Correa et al., J Exerc Sci Fitness, 2014",26,46,255,2014,6,59.5,0,68.2,25.7,untrained,healthy,y,12,5,8,1,,,,hypertrophy,skinfold,total,total,between,12,37.1,38.1,,,,,3.8,3.1,,,,,,12,36.2,35.4,,,,,2.8,3.8,,,,,,
"Correa et al., J Exerc Sci Fitness, 2014",26,47,256,2014,6,59.5,0,68.2,25.7,untrained,healthy,y,12,5,8,3,,,,hypertrophy,skinfold,total,total,between,11,33.1,35.9,,,,,4.1,3.8,,,,,,12,36.2,35.4,,,,,2.8,3.8,,,,,,
"Cunha et al., J Strength Cond Res, 2020",27,48,257,2020,9,69.065,0,66.04,27.095,untrained,healthy,y,12,3,8,1,12.5,,y,strength,1RM,upper,elbow flexion,between,21,17.47,23.95,,,,,2.82,4.03,,,,,0.05,21,18.9,18.33,,,,,2.66,3.15,,,,,,
"Cunha et al., J Strength Cond Res, 2020",27,48,258,2020,9,69.065,0,66.04,27.095,untrained,healthy,y,12,3,8,1,12.5,,y,strength,1RM,lower,knee extension,between,21,47.23,54.95,,,,,10.9,11.49,,,,,0.05,21,47.8,47.47,,,,,8.67,9,,,,,,
"Cunha et al., J Strength Cond Res, 2020",27,48,259,2020,9,69.065,0,66.04,27.095,untrained,healthy,y,12,3,8,1,12.5,,y,hypertrophy,DXA,upper,arms,between,21,4.34,4.68,,,,,0.95,0.91,,,,,0.05,21,3.57,3.53,,,,,0.65,0.64,,,,,,
"Cunha et al., J Strength Cond Res, 2020",27,48,260,2020,9,69.065,0,66.04,27.095,untrained,healthy,y,12,3,8,1,12.5,,y,hypertrophy,DXA,lower,legs,between,21,12.73,13.44,,,,,1.91,2,,,,,0.05,21,10.46,10.38,,,,,1.68,2.27,,,,,,
"Cunha et al., J Strength Cond Res, 2020",27,49,261,2020,9,68.31317073,0,63.17341463,26.55585366,untrained,healthy,y,12,3,8,3,12.5,,y,strength,1RM,upper,elbow flexion,between,20,17.9,22.8,,,,,3.24,3.73,,,,,0.05,21,18.9,18.33,,,,,2.66,3.15,,,,,,
"Cunha et al., J Strength Cond Res, 2020",27,49,262,2020,9,68.31317073,0,63.17341463,26.55585366,untrained,healthy,y,12,3,8,3,12.5,,y,strength,1RM,lower,knee extension,between,20,44.4,54.05,,,,,9.88,9.68,,,,,0.05,21,47.8,47.47,,,,,8.67,9,,,,,,
"Cunha et al., J Strength Cond Res, 2020",27,49,263,2020,9,68.31317073,0,63.17341463,26.55585366,untrained,healthy,y,12,3,8,3,12.5,,y,hypertrophy,DXA,upper,arms,between,20,3.51,3.82,,,,,0.64,0.61,,,,,0.05,21,3.57,3.53,,,,,0.65,0.64,,,,,,
"Cunha et al., J Strength Cond Res, 2020",27,49,264,2020,9,68.31317073,0,63.17341463,26.55585366,untrained,healthy,y,12,3,8,3,12.5,,y,hypertrophy,DXA,lower,legs,between,20,10.81,11.49,,,,,1.51,1.51,,,,,0.05,21,10.46,10.38,,,,,1.68,2.27,,,,,,
"de Souza et al., J Strength Cond Res, 2018",28,50,265,2018,6,25.02424242,100,76.77575758,,untrained,healthy,y,6,2,2,3,8,,y,strength,1RM,lower,squat,between,8,140.76,164.87,25.1,,,,23.9,31.2,,13.9,36.2,,,8,126.8,127.68,,,,,21.3,21.62,,,,,,
"de Souza et al., J Strength Cond Res, 2018",28,50,266,2018,6,25.02424242,100,76.77575758,,untrained,healthy,y,6,2,2,3,8,,y,hypertrophy,MRI,lower,quadriceps,between,8,8801.4,9247.1,451.3,,,,983.8,972.3,,159.1,743.4,,,8,8913.3,8751,,,,,1041.9,1136.3,,,,,,
"de Souza et al., J Strength Cond Res, 2018",28,50,267,2018,6,25.02424242,100,76.77575758,,untrained,healthy,y,12,2,2,3,8,,y,strength,1RM,lower,squat,between,8,140.76,170.95,28.1,,,,23.9,36.85,,16.9,39.2,,,8,126.8,132.05,,,,,21.3,20.12,,,,,,
"de Souza et al., J Strength Cond Res, 2018",28,50,268,2018,6,25.02424242,100,76.77575758,,untrained,healthy,y,12,2,2,3,8,,y,hypertrophy,MRI,lower,quadriceps,between,8,8801.4,9613.5,715,,,,983.8,1017,,422.9,1007,,,8,8913.3,9149.1,,,,,1041.9,1264.2,,,,,,
"de Souza et al., J Strength Cond Res, 2018",28,51,269,2018,6,25.02424242,100,76.77575758,,untrained,healthy,y,6,2,2,3,8,,y,strength,1RM,lower,squat,between,8,141.15,152.96,11.8,,,,19.57,31.82,,1.3,22.3,,,8,126.8,127.68,,,,,21.3,21.62,,,,,,
"de Souza et al., J Strength Cond Res, 2018",28,51,270,2018,6,25.02424242,100,76.77575758,,untrained,healthy,y,6,2,2,3,8,,y,hypertrophy,MRI,lower,quadriceps,between,8,8689.4,9099.2,409.8,,,,770.8,892.7,,134.4,685.2,,,8,8913.3,8751,,,,,1041.9,1136.3,,,,,,
"de Souza et al., J Strength Cond Res, 2018",28,51,271,2018,6,25.02424242,100,76.77575758,,untrained,healthy,y,12,2,2,3,8,,y,strength,1RM,lower,squat,between,8,141.15,166.43,25.2,,,,19.57,30.29,,14.7,35.7,,,8,126.8,132.05,,,,,21.3,20.12,,,,,,
"de Souza et al., J Strength Cond Res, 2018",28,51,272,2018,6,25.02424242,100,76.77575758,,untrained,healthy,y,12,2,2,3,8,,y,hypertrophy,MRI,lower,quadriceps,between,8,8689.4,9684.1,991.7,,,,770.8,1049.4,,716.2,1267,,,8,8913.3,9149.1,,,,,1041.9,1264.2,,,,,,
"de Souza et al., J Strength Cond Res, 2018",28,52,273,2018,6,25.02424242,100,76.77575758,,untrained,healthy,y,6,2,2,3,8,,y,strength,1RM,lower,squat,between,9,149.57,167.35,17.7,,,,34.67,36.01,,6.6,28.9,,,8,126.8,127.68,,,,,21.3,21.62,,,,,,
"de Souza et al., J Strength Cond Res, 2018",28,52,274,2018,6,25.02424242,100,76.77575758,,untrained,healthy,y,6,2,2,3,8,,y,hypertrophy,MRI,lower,quadriceps,between,9,8407.2,9064,414.5,,,,1449,1503.2,,122.4,706.6,,,8,8913.3,8751,,,,,1041.9,1136.3,,,,,,
"de Souza et al., J Strength Cond Res, 2018",28,52,275,2018,6,25.02424242,100,76.77575758,,untrained,healthy,y,12,2,2,3,8,,y,strength,1RM,lower,squat,between,9,149.57,178.35,28.7,,,,34.67,36.76,,17.6,39.9,,,8,126.8,132.05,,,,,21.3,20.12,,,,,,
"de Souza et al., J Strength Cond Res, 2018",28,52,276,2018,6,25.02424242,100,76.77575758,,untrained,healthy,y,12,2,2,3,8,,y,hypertrophy,MRI,lower,quadriceps,between,9,8407.2,9399.3,749.9,,,,1449,1538.6,,457.7,1042,,,8,8913.3,9149.1,,,,,1041.9,1264.2,,,,,,
"Deibert et al., Aging Male, 2011",29,53,277,2011,10,55,100,88.07714286,,untrained,healthy,y,12,2,4,,17.08333333,,y,hypertrophy,skinfold,total,total,between,26,67.9,69.1,,,,,5.8,5.7,,,,,0.01,9,62.7,63.5,,,,,7.8,7.5,,,,,,
"Deibert et al., Aging Male, 2011",29,53,278,2011,10,55,100,88.07714286,,untrained,healthy,y,12,2,4,,17.08333333,,y,strength,isometric,lower,knee extension,between,26,178.9,234.7,,,,,58.4,55.2,,,,,0.001,9,181.4,183.4,,,,,41.8,39.7,,,,,,
"Deibert et al., Aging Male, 2011",29,53,279,2011,10,55,100,88.07714286,,untrained,healthy,y,12,2,4,,17.08333333,,y,strength,isometric,lower,knee flexion,between,26,152.2,178,,,,,37.3,37.7,,,,,0.001,9,143.6,146.8,,,,,25.6,28.1,,,,,,
"Douda et al., J Aging Phys Act, 2014",30,54,280,2014,7,64.3,0,76.8,30.1,untrained,healthy,y,39,3,10,2.5,12.5,,,hypertrophy,BIA,total,total,between,10,55.8,57.4,,,,,1.6,1.5,,,,,,10,57.5,56.9,,,,,1.7,1.6,,,,,,
"Douda et al., J Aging Phys Act, 2014",30,54,281,2014,7,64.3,0,76.8,30.1,trained,healthy,y,39,3,10,2.5,12.5,,,hypertrophy,BIA,total,total,between,10,56.8,58.1,,,,,1.2,1.1,,,,,,10,56.6,56.7,,,,,1.6,1.7,,,,,,
"Douda et al., J Aging Phys Act, 2014",30,54,282,2014,7,64.3,0,76.8,30.1,trained,healthy,y,39,3,10,2.5,12.5,,,hypertrophy,BIA,total,total,between,10,57.7,57.8,,,,,1,1,,,,,,10,56.2,56.1,,,,,1.6,1.6,,,,,,
"Douda et al., J Aging Phys Act, 2014",30,54,283,2014,7,64.3,0,76.8,30.1,trained,healthy,y,39,3,10,2.5,12.5,,,hypertrophy,BIA,total,total,between,10,57.2,59.1,,,,,1.1,1,,,,,,10,55.6,55.6,,,,,1.6,1.5,,,,,,
"Douda et al., J Aging Phys Act, 2014",30,54,284,2014,7,64.3,0,76.8,30.1,trained,healthy,y,39,3,10,2.5,12.5,,,hypertrophy,BIA,total,total,between,10,57.1,59.8,,,,,1,0.9,,,,,,10,54.1,53.3,,,,,1.6,1.5,,,,,,
"Dutra et al., Appl Physiol Nutr Metab, 2018 - Vitamins",30,55,285,2018,11,23.8,0,58.7,22.15,untrained,healthy,n,10,2,4,3,10,,y,strength,isokinetic,lower,knee extension,between,15,145.4621849,170.6722689,,,,,29.24369748,29.24369748,,,,,0.05,15,136.3865546,140.4201681,,,,,27.22689076,24.20168067,,,,,,
"Dutra et al., Appl Physiol Nutr Metab, 2018 - Vitamins",30,55,286,2018,11,23.8,0,58.7,22.15,untrained,healthy,n,10,2,4,3,10,,y,hypertrophy,US,lower,quadriceps (rectus femoris & vastus intermedius),between,15,37.24832215,40.46979866,,,,,5.369127517,5.503355705,,,,,0.05,15,38.72483221,38.72483221,,,,,3.422818792,3.489932886,,,,,,
"Dutra et al., Appl Physiol Nutr Metab, 2018 - Placebo",30,56,287,2018,11,23.8,0,58.7,22.15,untrained,healthy,y,10,2,4,3,10,,y,strength,isokinetic,lower,knee extension,between,12,159.5798319,183.2773109,,,,,21.68067227,23.19327731,,,,,0.05,15,136.3865546,140.4201681,,,,,27.22689076,24.20168067,,,,,,
"Dutra et al., Appl Physiol Nutr Metab, 2018 - Placebo",30,56,288,2018,11,23.8,0,58.7,22.15,untrained,healthy,y,10,2,4,3,10,,y,hypertrophy,US,lower,quadriceps (rectus femoris & vastus intermedius),between,12,39.79865772,42.61744966,,,,,5.167785235,5.570469799,,,,,0.05,15,38.72483221,38.72483221,,,,,3.422818792,3.489932886,,,,,,
"Emerson et al., Arch Gerontol Geriatr, 2015",31,57,289,2015,9,71.16086957,100,77.50869565,,untrained,healthy,y,6,2,8,3,12,77.5,,strength,1RM,lower,knee extension,between,11,47,47.1,,,,,9.7,9.6,,,,,,12,47.3,47.4,,,,,12.7,12.7,,,,,,
"Emerson et al., Arch Gerontol Geriatr, 2015",31,57,290,2015,9,71.16086957,100,77.50869565,,untrained,healthy,y,6,2,8,3,12,77.5,,hypertrophy,DXA,total,total,between,11,36.4,48,,,,,12.5,15.6,,,,,0.05,12,31.1,33.3,,,,,11.8,14.8,,,,,,
"Evangelista et al., Clinics, 2019",32,58,291,2015,8,25.73636364,,78.26969697,,untrained,healthy,y,8,2,3,3,10,,y,strength,1RM,upper,elbow flexion,between,25,33,38,,,,,10,10,,,,,0.001,16,33,33,,,,,9,9,,,,,0.176,
"Evangelista et al., Clinics, 2019",32,58,292,2015,8,25.73636364,,78.26969697,,untrained,healthy,y,8,2,3,3,10,,y,strength,1RM,lower,squat,between,25,92,111,,,,,12,14,,,,,0.001,16,92,91,,,,,11,11,,,,,0.292,
"Evangelista et al., Clinics, 2019",32,58,293,2015,8,25.73636364,,78.26969697,,untrained,healthy,y,8,2,3,3,10,,y,strength,1RM,upper,elbow extension,between,25,27,33,,,,,9,10,,,,,0.001,16,27,27,,,,,5,6,,,,,0.269,
"Evangelista et al., Clinics, 2019",32,58,294,2015,8,25.73636364,,78.26969697,,untrained,healthy,y,8,2,3,3,10,,y,hypertrophy,US,upper,biceps ,between,25,32.6,36.5,,,,,7.1,4.8,,,,,0.001,16,34,34.4,,,,,3.3,3.4,,,,,0.214,
"Evangelista et al., Clinics, 2019",32,58,295,2015,8,25.73636364,,78.26969697,,untrained,healthy,y,8,2,3,3,10,,y,hypertrophy,US,upper,triceps,between,25,33.1,36.1,,,,,4.3,5.1,,,,,0.001,16,33.5,34,,,,,3,3.1,,,,,0.2148,
"Evangelista et al., Clinics, 2019",32,58,296,2015,8,25.73636364,,78.26969697,,untrained,healthy,y,8,2,3,3,10,,y,hypertrophy,US,lower,quadriceps (vastus lateralis),between,25,41.4,46.8,,,,,5.5,4.6,,,,,0.001,16,40.9,41,,,,,5.2,5.4,,,,,0.142,
"Evangelista et al., Clinics, 2019 - EMS",32,59,297,2015,8,25.73636364,,78.26969697,,untrained,healthy,y,8,2,3,3,10,,y,strength,1RM,upper,elbow flexion,between,25,34,43,,,,,10,12,,,,,0.001,16,33,33,,,,,9,9,,,,,0.176,
"Evangelista et al., Clinics, 2019 - EMS",32,59,298,2015,8,25.73636364,,78.26969697,,untrained,healthy,y,8,2,3,3,10,,y,strength,1RM,lower,squat,between,25,93,133,,,,,18,30,,,,,0.001,16,92,91,,,,,11,11,,,,,0.292,
"Evangelista et al., Clinics, 2019 - EMS",32,59,299,2015,8,25.73636364,,78.26969697,,untrained,healthy,y,8,2,3,3,10,,y,strength,1RM,upper,elbow extension,between,25,28,34,,,,,7,6,,,,,0.001,16,27,27,,,,,5,6,,,,,0.269,
"Evangelista et al., Clinics, 2019 - EMS",32,59,300,2015,8,25.73636364,,78.26969697,,untrained,healthy,y,8,2,3,3,10,,y,hypertrophy,US,upper,biceps ,between,25,33.2,40.4,,,,,6.1,5.8,,,,,0.001,16,34,34.4,,,,,3.3,3.4,,,,,0.214,
"Evangelista et al., Clinics, 2019 - EMS",32,59,301,2015,8,25.73636364,,78.26969697,,untrained,healthy,y,8,2,3,3,10,,y,hypertrophy,US,upper,triceps,between,25,31.5,36.8,,,,,5.3,5.6,,,,,0.001,16,33.5,34,,,,,3,3.1,,,,,0.2148,
"Evangelista et al., Clinics, 2019 - EMS",32,59,302,2015,8,25.73636364,,78.26969697,,untrained,healthy,y,8,2,3,3,10,,y,hypertrophy,US,lower,quadriceps (vastus lateralis),between,25,40.9,46.2,,,,,5.9,5.2,,,,,0.001,16,40.9,41,,,,,5.2,5.4,,,,,0.142,
"Fiatarone-Singh et al., Am J Physiol, 1999",33,60,303,1999,7,86.05263158,42.10526316,,25.54736842,untrained,clinical,y,10,3,2,3,8,80,n,hypertrophy,biopsy (type i),lower,quadriceps (vastus lateralis),between,6,3278,3411,,324,476,,,,,,,,,6,4811,3944,,935,305,,,,,,,,,
"Fiatarone-Singh et al., Am J Physiol, 1999",33,60,304,1999,7,86.05263158,42.10526316,,25.54736842,untrained,clinical,y,10,3,2,3,8,80,n,hypertrophy,biopsy (type ii),lower,quadriceps (vastus lateralis),between,6,2524,2283,,195,331,,,,,,,,,6,1856,1560,,162,227,,,,,,,,,
"Fiatarone-Singh et al., Am J Physiol, 1999 - Supplement",33,61,305,1999,7,86.05263158,42.10526316,,25.54736842,untrained,clinical,n,10,3,2,3,8,80,n,hypertrophy,biopsy (type i),lower,quadriceps (vastus lateralis),between,7,3831,3817,,600,324,,,,,,,,,6,4811,3944,,935,305,,,,,,,,,
"Fiatarone-Singh et al., Am J Physiol, 1999 - Supplement",33,61,306,1999,7,86.05263158,42.10526316,,25.54736842,untrained,clinical,n,10,3,2,3,8,80,n,hypertrophy,biopsy (type ii),lower,quadriceps (vastus lateralis),between,7,1856,1560,,198,381,,,,,,,,,6,1856,1560,,162,227,,,,,,,,,
"Flack et al., Physiol Rep, 2016",34,62,307,2016,6,66.10526316,100,82.20526316,26.75789474,untrained,healthy,y,12,3,7,1,10,,y,hypertrophy,DXA,total,total,between,11,55.1,55.8,,,,,5.1,5.3,,,,,,8,57.4,57.5,,,,,5.8,6,,,,,,
"Flack et al., Physiol Rep, 2016",34,62,308,2016,6,66.10526316,100,82.20526316,26.75789474,untrained,healthy,y,12,3,7,1,10,,y,strength,1RM,lower,leg press,between,11,110,148,,,,,28,23,,,,,0.05,8,122,115,,,,,30,26,,,,,,
"Flack et al., Physiol Rep, 2016",34,62,309,2016,6,66.10526316,100,82.20526316,26.75789474,untrained,healthy,y,12,3,7,1,10,,y,strength,1RM,upper,chest press,between,11,52,70,,,,,13,17,,,,,0.05,8,49,48,,,,,15,15,,,,,,
"Fonseca et al., J Strength Cond Res, 2014 - CICE",35,63,310,2014,7,25.04285714,100,74.30612245,,untrained,healthy,y,12,2,1,6.333333333,8,,y,hypertrophy,MRI,lower,quadriceps (vastus lateralis),between,10,3212,3514,,,,,648,636,,,,,0.05,10,2855,2857,,,,,474,465,,,,,,
"Fonseca et al., J Strength Cond Res, 2014 - CICE",35,63,311,2014,7,25.04285714,100,74.30612245,,untrained,healthy,y,12,2,1,6.333333333,8,,y,hypertrophy,MRI,lower,quadriceps (vastus medialis),between,10,1221,1318,,,,,201,154,,,,,,10,1070,1064,,,,,159,200,,,,,,
"Fonseca et al., J Strength Cond Res, 2014 - CICE",35,63,312,2014,7,25.04285714,100,74.30612245,,untrained,healthy,y,12,2,1,6.333333333,8,,y,hypertrophy,MRI,lower,quadriceps (vastus intermedius),between,10,3472,3738,,,,,413,468,,,,,0.05,10,2988,3016,,,,,501,456,,,,,,
"Fonseca et al., J Strength Cond Res, 2014 - CICE",35,63,313,2014,7,25.04285714,100,74.30612245,,untrained,healthy,y,12,2,1,6.333333333,8,,y,hypertrophy,MRI,lower,quadriceps (rectus femoris),between,10,1020,1090,,,,,174,180,,,,,,10,886,855,,,,,268,222,,,,,,
"Fonseca et al., J Strength Cond Res, 2014 - CIVE",35,64,314,2014,7,25.04285714,100,74.30612245,,untrained,healthy,y,12,2,4,2.666666667,8,,y,hypertrophy,MRI,lower,quadriceps (vastus lateralis),between,8,2964,3312,,,,,452,473,,,,,0.05,10,2855,2857,,,,,474,465,,,,,,
"Fonseca et al., J Strength Cond Res, 2014 - CIVE",35,64,315,2014,7,25.04285714,100,74.30612245,,untrained,healthy,y,12,2,4,2.666666667,8,,y,hypertrophy,MRI,lower,quadriceps (vastus medialis),between,8,1090,1269,,,,,198,282,,,,,0.05,10,1070,1064,,,,,159,200,,,,,,
"Fonseca et al., J Strength Cond Res, 2014 - CIVE",35,64,316,2014,7,25.04285714,100,74.30612245,,untrained,healthy,y,12,2,4,2.666666667,8,,y,hypertrophy,MRI,lower,quadriceps (vastus intermedius),between,8,3059,3353,,,,,588,456,,,,,0.05,10,2988,3016,,,,,501,456,,,,,,
"Fonseca et al., J Strength Cond Res, 2014 - CIVE",35,64,317,2014,7,25.04285714,100,74.30612245,,untrained,healthy,y,12,2,4,2.666666667,8,,y,hypertrophy,MRI,lower,quadriceps (rectus femoris),between,8,1012,1096,,,,,249,263,,,,,0.05,10,886,855,,,,,268,222,,,,,,
"Fonseca et al., J Strength Cond Res, 2014 - VICE",35,65,318,2014,7,25.04285714,100,74.30612245,,untrained,healthy,y,12,2,1,2.333333333,8,,y,hypertrophy,MRI,lower,quadriceps (vastus lateralis),between,9,3040,3245,,,,,393,405,,,,,0.05,10,2855,2857,,,,,474,465,,,,,,
"Fonseca et al., J Strength Cond Res, 2014 - VICE",35,65,319,2014,7,25.04285714,100,74.30612245,,untrained,healthy,y,12,2,1,2.333333333,8,,y,hypertrophy,MRI,lower,quadriceps (vastus medialis),between,9,1217,1371,,,,,299,278,,,,,0.05,10,1070,1064,,,,,159,200,,,,,,
"Fonseca et al., J Strength Cond Res, 2014 - VICE",35,65,320,2014,7,25.04285714,100,74.30612245,,untrained,healthy,y,12,2,1,2.333333333,8,,y,hypertrophy,MRI,lower,quadriceps (vastus intermedius),between,9,3358,3632,,,,,612,534,,,,,0.05,10,2988,3016,,,,,501,456,,,,,,
"Fonseca et al., J Strength Cond Res, 2014 - VICE",35,65,321,2014,7,25.04285714,100,74.30612245,,untrained,healthy,y,12,2,1,2.333333333,8,,y,hypertrophy,MRI,lower,quadriceps (rectus femoris),between,9,959,1026,,,,,120,112,,,,,,10,886,855,,,,,268,222,,,,,,
"Fonseca et al., J Strength Cond Res, 2014 - VIVE",35,66,322,2014,7,25.04285714,100,74.30612245,,untrained,healthy,y,12,2,4,1,8,,y,hypertrophy,MRI,lower,quadriceps (vastus lateralis),between,12,3156,3428,,,,,536,517,,,,,0.05,10,2855,2857,,,,,474,465,,,,,,
"Fonseca et al., J Strength Cond Res, 2014 - VIVE",35,66,323,2014,7,25.04285714,100,74.30612245,,untrained,healthy,y,12,2,4,1,8,,y,hypertrophy,MRI,lower,quadriceps (vastus medialis),between,12,1166,1345,,,,,162,206,,,,,0.05,10,1070,1064,,,,,159,200,,,,,,
"Fonseca et al., J Strength Cond Res, 2014 - VIVE",35,66,324,2014,7,25.04285714,100,74.30612245,,untrained,healthy,y,12,2,4,1,8,,y,hypertrophy,MRI,lower,quadriceps (vastus intermedius),between,12,3410,3639,,,,,486,504,,,,,0.05,10,2988,3016,,,,,501,456,,,,,,
"Fonseca et al., J Strength Cond Res, 2014 - VIVE",35,66,325,2014,7,25.04285714,100,74.30612245,,untrained,healthy,y,12,2,4,1,8,,y,hypertrophy,MRI,lower,quadriceps (rectus femoris),between,12,1018,1085,,,,,288,318,,,,,0.05,10,886,855,,,,,268,222,,,,,,
"Fragala et al, J Cachexia Sarcopenia Muscle, 2014",36,67,326,2014,6,67.75833333,100,88.41666667,28.89166667,untrained,healthy,y,6,2,8,3,12,77.5,n,strength,1RM,lower,knee extension,between,7,48.5,61,12.5,,,,16,17.9,4.5,,,,,5,37.3,44.7,7.4,,,,6.6,8.1,5.2,,,,,
"Fragala et al, J Cachexia Sarcopenia Muscle, 2014",36,67,327,2014,6,67.75833333,100,88.41666667,28.89166667,untrained,healthy,y,6,2,8,3,12,77.5,n,hypertrophy,DXA,total,total,between,7,52.4,52.4,0,,,,12.4,12.5,1.2,,,,,5,57.4,57.3,-0.1,,,,15.1,15.2,0.6,,,,,
